89,Rederij Kooij,Prinses Irene,V0239,244780633,
90,Rederij Kooij,Prinses Margriet,V0240,244780642,
91,Rederij Leemstar,The Club,V5180,244900081,
92,Rederij Lovers,Aimee,V0209,244710267,RederijLovers
93,Rederij Lovers,Andre van Duin,V5073,244750240,RederijLovers
94,Rederij Lovers,Anne Frank,V5039,244750241,RederijLovers
95,Rederij Lovers,BZN 2,V0212,244750243,RederijLovers
96,Rederij Lovers,BZN 3,V0213,244750254,RederijLovers
97,Rederij Lovers,BZN 4,V0214,244750255,RederijLovers
98,Rederij Lovers,BZN 5,V5041,244850736,RederijLovers
99,Rederij Lovers,BZN 6,V5069,244507370,RederijLovers
100,Rederij Lovers,Floating Dutchman,V0215,,RederijLovers
101,Rederij Lovers,Flying Enterprise,V0216,244750256,RederijLovers
102,Rederij Lovers,Jannes Lovers,V0217,244750258,RederijLovers
103,Rederij Lovers,Nemo,V5124,244730602,RederijLovers
104,Rederij Lovers,Pierre Janssen,V0218,244750259,RederijLovers
105,Rederij Lovers,Stan Huygens,V5107,244750261,RederijLovers
106,Rederij Lovers,Toon Hermans,V5159,244750262,RederijLovers
107,Rederij Lovers,Wim Kan,V5074,244750263,RederijLovers
108,Rederij Lovers,Wim Sonneveld,V0222,244750264,RederijLovers
109,Rederij Oeverloos,Helena,V5001,244790338,
110,Rederij Plas,Hilda IV,V0242,244260494,
111,Rederij Plas,Koningin Emma,V0243,244780655,
112,Rederij Plas,Koningin Wilhelmina,V0244,244780656,
113,Rederij Plas,Nelson Mandela,V0245,244260496,
114,Rederij Plas,Pax,V0246,244780654,
115,Rederij Plas,Prins Hendrik,V0247,244260499,
116,Rederij Plas,Prins Willem van Oranje,V0248,,
117,Rederij Plas,Prinses Alexia,V0249,244260498,
118,Rederij Plas,Prinses Ariane,V0250,244260497,
119,Rederij Vlaun,The Old Queen,V0319,,
120,Rederij Welvaren,Henry Schmitz,V0251,244780710,
121,Salonboot Adeline,Adeline,V5092,244710544,
122,Salonboot Belle van Zuylen,Belle van Zuylen,V5026,244710542,
123,Salonboot Dame van Amstel,Dame van Amstel,V5187,244710543,
124,Salonboot Hilda,Hilda,V0253,244780727,
125,Smidtje Beheer,City Tender Couperus,V5165,244710835,
126,Smidtje Beheer,City Tender Vondel,V0265,244020160,
127,Smidtje Beheer,Frans van Mieris,V5139,244615912,
128,Smidtje Beheer,Paulus Potter,V0192,,
129,Smidtje Beheer,t Smidtje,V0264,244710834,
130,Smidtje Beheer,Wilhelmus,V0266,244710836,
131,Smidtje Exploitatie,Cornelis Schuyt,V5015,244830882,
132,Smidtje Exploitatie,Henri Matisse,V0182,244660078,
133,Smidtje Holding,Da Vinci,V5160,244770647,
134,Smidtje Holding,Gaudi,V0335,244690712,
135,Smidtje Holding,Jan Luijken,V5110,244870645,
136,Smidtje Holding,Michelangelo,V5161,244780931,
137,Smidtje Holding,Nicolaas Maes,V5016,244830663,
138,Smidtje Holding,PC Hooft,V0262,244710832,
139,Smidtje Holding,Picasso,V5111,244810877,
140,Stichting behoud Salonboot Avanti,Avanti,V5029,244070166,
141,Stichting De Kalefater,Proost van St Jan,V0268,244750203,
142,Waterlelie Rondvaart,Lelie,V0269,244730907,
143,Wolfsburght,Libelle,V0271,244110703,
